timestamp,x,y,z,roll,pitch,yaw,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd,target_x,target_y,target_z,target_yaw,pos_error,yaw_error
0.095443,-0.254356,-0.049095,1.812165,-0.038498,-0.056459,0.049238,-0.068604,-0.000064,0.095274,-0.202742,0.000000,0.000000,2.000000,0.000000,0.319983,0.049238
0.105663,-0.227585,-0.042534,1.856709,-0.041783,-0.047120,0.036467,0.000341,0.004952,0.112858,-0.189677,0.000000,0.000000,2.000000,0.000000,0.272280,0.036467
0.094754,-0.206568,-0.036935,1.887056,-0.034950,-0.036183,0.035266,0.011336,0.001726,0.097956,-0.200809,0.000000,0.000000,2.000000,0.000000,0.238308,0.035266
0.100448,-0.189754,-0.032282,1.906569,-0.039560,-0.019332,0.029492,0.051773,0.009269,0.117446,-0.193884,0.000000,0.000000,2.000000,0.000000,0.213958,0.029492
0.100009,-0.176516,-0.027919,1.916671,-0.044630,-0.006583,0.021031,0.074906,0.007386,0.140904,-0.186380,0.000000,0.000000,2.000000,0.000000,0.197183,0.021031
0.100136,-0.165503,-0.024429,1.920758,-0.038360,0.001880,0.017768,0.087081,0.013045,0.161121,-0.189941,0.000000,0.000000,2.000000,0.000000,0.185114,0.017768
0.098498,-0.155849,-0.021280,1.921306,-0.041779,0.008561,0.011948,0.089389,0.013219,0.176809,-0.183896,0.000000,0.000000,2.000000,0.000000,0.175882,0.011948
0.099902,-0.146878,-0.018513,1.919959,-0.038006,0.013958,0.005817,0.088414,0.015344,0.188714,-0.179680,0.000000,0.000000,2.000000,0.000000,0.168293,0.005817
0.101067,-0.138095,-0.015960,1.917817,-0.040115,0.018203,-0.000438,0.081911,0.015759,0.196857,-0.175247,0.000000,0.000000,2.000000,0.000000,0.161490,0.000438
0.100154,-0.129900,-0.013950,1.916266,-0.036142,0.022464,-0.003826,0.078411,0.019413,0.197361,-0.175399,0.000000,0.000000,2.000000,0.000000,0.155177,0.003826
0.101595,-0.119740,-0.011801,1.914399,-0.041703,0.023049,-0.012101,0.047754,0.016193,0.202635,-0.164475,0.000000,0.000000,2.000000,0.000000,0.147664,0.012101
0.097779,-0.110714,-0.010387,1.914133,-0.039189,0.021162,-0.020968,0.045960,0.022241,0.195713,-0.156438,0.000000,0.000000,2.000000,0.000000,0.140494,0.020968
0.104858,-0.099446,-0.008861,1.915005,-0.043026,0.017744,-0.029836,0.017353,0.020048,0.188633,-0.149361,0.000000,0.000000,2.000000,0.000000,0.131119,0.029836
0.112492,-0.089196,-0.007635,1.917208,-0.041976,0.015953,-0.031493,0.023678,0.022866,0.178657,-0.153233,0.000000,0.000000,2.000000,0.000000,0.121938,0.031493
0.104243,-0.078097,-0.006316,1.920982,-0.039898,0.013815,-0.039038,-0.004874,0.018630,0.162858,-0.140512,0.000000,0.000000,2.000000,0.000000,0.111279,0.039038
0.079164,-0.069059,-0.005115,1.924206,-0.036835,0.017127,-0.041188,-0.022792,0.013870,0.153979,-0.141809,0.000000,0.000000,2.000000,0.000000,0.102665,0.041188
0.102559,-0.059299,-0.003445,1.928355,-0.032651,0.010918,-0.052460,-0.012981,0.011121,0.145461,-0.123461,0.000000,0.000000,2.000000,0.000000,0.093066,0.052460
0.101519,-0.049827,-0.001947,1.933224,-0.038969,0.014278,-0.056400,1.292667,1.372200,1.372200,-0.792100,1.000000,1.000000,3.000000,-1.500000,1.801124,1.443600
0.107745,-0.038670,0.000833,1.939732,-0.058216,0.039390,-0.076333,0.954794,1.157116,1.372200,-0.792100,1.000000,1.000000,3.000000,-1.500000,1.789228,1.423667
0.098846,-0.021615,0.008928,1.958328,-0.122330,0.133256,-0.112224,0.828394,1.111674,1.372200,-0.792100,1.000000,1.000000,3.000000,-1.500000,1.763803,1.387776
0.112608,0.003100,0.023638,1.996395,-0.124835,0.139840,-0.170256,0.698017,1.077482,1.372200,-0.792100,1.000000,1.000000,3.000000,-1.500000,1.718812,1.329744
0.090824,0.040203,0.047858,2.054034,-0.125363,0.143826,-0.221126,0.442816,0.890087,1.372200,-0.792100,1.000000,1.000000,3.000000,-1.500000,1.650041,1.278874
0.096553,0.088204,0.081324,2.127643,-0.124285,0.137385,-0.267921,0.291066,0.753084,1.372200,-0.792100,1.000000,1.000000,3.000000,-1.500000,1.560879,1.232079
0.097954,0.145562,0.124014,2.213315,-0.131857,0.132063,-0.317736,0.148340,0.582597,1.237660,-0.792100,1.000000,1.000000,3.000000,-1.500000,1.454747,1.182264
0.100386,0.211272,0.175133,2.307899,-0.136577,0.126774,-0.364510,0.032993,0.411650,1.008243,-0.792100,1.000000,1.000000,3.000000,-1.500000,1.334729,1.135490
0.100309,0.283824,0.234721,2.407691,-0.141019,0.123307,-0.420852,-0.065768,0.208475,0.775101,-0.792100,1.000000,1.000000,3.000000,-1.500000,1.203906,1.079148
0.099628,0.362401,0.302112,2.510016,-0.142149,0.113674,-0.470229,-0.141360,-0.009431,0.546434,-0.792100,1.000000,1.000000,3.000000,-1.500000,1.064736,1.029771
0.100756,0.445852,0.376984,2.608817,-0.141517,0.115378,-0.519476,-0.180277,-0.214983,0.362679,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.921006,0.980524
0.105305,0.532621,0.457944,2.695830,-0.129957,0.094110,-0.585606,-0.176476,-0.372025,0.254974,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.777681,0.914394
0.093812,0.615285,0.539895,2.766647,-0.035908,-0.003572,-0.632076,-0.161904,-0.631477,0.141459,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.643549,0.867924
0.100836,0.692623,0.619261,2.819505,0.058479,-0.082063,-0.676937,-0.107458,-0.608464,0.141404,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.521556,0.823063
0.097613,0.754640,0.685222,2.850405,0.090118,-0.092052,-0.722241,-0.055939,-0.527629,0.176131,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.426223,0.777759
0.103618,0.812398,0.748441,2.870091,0.096656,-0.084170,-0.774222,-0.014748,-0.513709,0.195514,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.339636,0.725778
0.106378,0.861711,0.804871,2.878758,0.101014,-0.087792,-0.827254,0.026610,-0.462429,0.229257,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.268140,0.672746
0.091580,0.894636,0.843840,2.879265,0.098586,-0.081333,-0.880099,0.045133,-0.356874,0.264455,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.223751,0.619901
0.107460,0.916646,0.871567,2.875811,0.106689,-0.080510,-0.935997,0.028741,-0.150401,0.289637,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.197144,0.564003
0.092767,0.927613,0.888469,2.870133,0.100998,-0.081039,-0.984151,0.028285,-0.046360,0.315354,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.185861,0.515849
0.099413,0.928020,0.895081,2.864058,0.111697,-0.088450,-1.031043,-0.007235,0.119942,0.327965,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.186197,0.468957
0.100070,0.918741,0.891463,2.858639,0.120226,-0.076492,-1.083295,-0.060953,0.273637,0.335938,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.195873,0.416705
0.105320,0.902774,0.880205,2.853417,0.080458,-0.020012,-1.132505,-0.119994,0.380643,0.344649,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.212816,0.367495
0.095902,0.885099,0.863818,2.850122,0.027790,0.054741,-1.185270,-0.199613,0.456600,0.344241,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.232833,0.314730
0.099505,0.869811,0.846533,2.848380,-0.013089,0.097887,-1.227770,-0.244841,0.439619,0.339833,-0.792100,1.000000,1.000000,3.000000,-1.500000,0.251972,0.272230
0.099971,0.862738,0.832138,2.849257,-0.031439,0.125784,-1.281426,-0.275653,0.343245,0.325455,-0.771320,1.000000,1.000000,3.000000,-1.500000,0.264087,0.218574
0.101696,0.866236,0.823351,2.852174,-0.044307,0.130328,-1.327766,-0.268569,0.204234,0.309873,-0.746794,1.000000,1.000000,3.000000,-1.500000,0.266365,0.172234
0.102326,0.880218,0.821288,2.857341,-0.044300,0.117350,-1.379716,-0.234891,0.054241,0.288686,-0.705587,1.000000,1.000000,3.000000,-1.500000,0.258142,0.120284
0.098131,0.902065,0.826422,2.863256,-0.046758,0.076771,-1.415939,-0.172192,-0.081801,0.271692,-0.693639,1.000000,1.000000,3.000000,-1.500000,0.241701,0.084061
0.102176,0.929996,0.837429,2.870981,-0.027272,0.040883,-1.464983,-0.105895,-0.181969,0.248269,-0.648806,1.000000,1.000000,3.000000,-1.500000,0.219034,0.035017
0.099139,0.960174,0.853110,2.879118,-0.014341,0.015786,-1.502521,-0.032490,-0.256557,0.228219,-0.632251,1.000000,1.000000,3.000000,-1.500000,0.194359,0.002521
0.097639,0.989526,0.871776,2.886435,0.004103,-0.010826,-1.540592,0.032107,-0.287037,0.216376,-0.602752,1.000000,1.000000,3.000000,-1.500000,0.171605,0.040592
0.108209,1.018378,0.894199,2.893890,0.018285,-0.037330,-1.577151,0.084104,-0.282633,0.203721,-0.578310,1.000000,1.000000,3.000000,-1.500000,0.150967,0.077151
0.095246,1.037773,0.912796,2.899833,0.027650,-0.052881,-1.606457,0.098145,-0.237598,0.194433,-0.555975,1.000000,1.000000,3.000000,-1.500000,0.138075,0.106457
0.106618,1.054703,0.934899,2.906975,0.040979,-0.063235,-1.641841,0.141689,-0.208768,0.177357,-0.521825,1.000000,1.000000,3.000000,-1.500000,0.126033,0.141841
0.103619,1.063180,0.953325,2.913632,0.045873,-0.073938,-1.668880,0.129244,-0.140881,0.164793,-0.501498,1.000000,1.000000,3.000000,-1.500000,0.116747,0.168880
0.095216,1.064530,0.969651,2.919864,0.055152,-0.058087,-1.692306,0.135589,-0.073344,0.151223,-0.477927,1.000000,1.000000,3.000000,-1.500000,0.107270,0.192306
0.099260,1.060316,0.982831,2.926312,0.063868,-0.045281,-1.715855,0.101918,-0.016650,0.138021,-0.452207,1.000000,1.000000,3.000000,-1.500000,0.096761,0.215855
0.095057,1.052619,0.991365,2.932435,0.068194,-0.047041,-1.740154,1.372200,-1.121284,0.125513,-0.422692,-1.000000,-1.000000,3.000000,-1.500000,2.860654,0.240154
0.106723,1.038434,0.997338,2.939703,0.090061,-0.041116,-1.767860,1.372200,-1.076978,0.108610,-0.389458,-1.000000,-1.000000,3.000000,-1.500000,2.854507,0.267860
0.100201,1.016810,0.995935,2.946447,0.129289,-0.123672,-1.781766,1.372200,-1.054427,0.094929,-0.377992,-1.000000,-1.000000,3.000000,-1.500000,2.837983,0.281766
0.098924,0.988912,0.988575,2.951050,0.124811,-0.126406,-1.800066,1.372200,-1.024438,0.095251,-0.346740,-1.000000,-1.000000,3.000000,-1.500000,2.812934,0.300066
0.101211,0.950521,0.973787,2.954600,0.112204,-0.125703,-1.809934,1.372200,-1.008125,0.093323,-0.333405,-1.000000,-1.000000,3.000000,-1.500000,2.775325,0.309934
0.098052,0.902195,0.952464,2.956980,0.107299,-0.135702,-1.822681,1.372200,-0.986907,0.093519,-0.306413,-1.000000,-1.000000,3.000000,-1.500000,2.726226,0.322681
0.100014,0.844663,0.925179,2.958027,0.113555,-0.127659,-1.839141,1.372200,-0.959271,0.097929,-0.275556,-1.000000,-1.000000,3.000000,-1.500000,2.666619,0.339141
0.102559,0.778504,0.892135,2.958599,0.113455,-0.132794,-1.853602,1.372200,-0.827689,0.099065,-0.250564,-1.000000,-1.000000,3.000000,-1.500000,2.597107,0.353602
0.099482,0.703850,0.853863,2.958045,0.112951,-0.135578,-1.864351,1.372200,-0.623960,0.105549,-0.229068,-1.000000,-1.000000,3.000000,-1.500000,2.518268,0.364351
0.101144,0.621663,0.809916,2.956694,0.115256,-0.130963,-1.874360,1.372200,-0.458976,0.112080,-0.205031,-1.000000,-1.000000,3.000000,-1.500000,2.430527,0.374360
0.097814,0.532683,0.760457,2.954695,0.129922,-0.119527,-1.884818,1.372200,-0.251486,0.119625,-0.179149,-1.000000,-1.000000,3.000000,-1.500000,2.334605,0.384818
