timestamp,x,y,z,roll,pitch,yaw,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd,target_x,target_y,target_z,target_yaw,pos_error,yaw_error
1777304993.223803,-0.116563,-0.363077,0.576594,-0.059821,0.019379,0.258931,1.372200,0.975109,1.372200,-0.792100,0.000000,0.000000,2.000000,0.000000,1.473600,0.258931
0.113132,-0.108377,-0.363976,0.593800,-0.057971,0.016465,0.235487,0.156104,0.403336,1.372200,-0.159334,0.000000,0.000000,2.000000,0.000000,1.456579,0.235487
0.090619,-0.098449,-0.361620,0.607157,-0.104214,0.054220,0.196157,0.090263,0.379295,1.372200,-0.118564,0.000000,0.000000,2.000000,0.000000,1.442384,0.196157
0.097550,-0.083399,-0.353946,0.630751,-0.164762,0.085172,0.187628,0.011712,0.328317,1.372200,-0.154558,0.000000,0.000000,2.000000,0.000000,1.416713,0.187628
0.108905,-0.062639,-0.337268,0.670993,-0.146753,0.025398,0.189488,-0.066574,0.243587,1.372200,-0.175662,0.000000,0.000000,2.000000,0.000000,1.372564,0.189488
0.094269,-0.044588,-0.317107,0.717126,-0.101442,-0.011010,0.198574,-0.101636,0.162866,1.372200,-0.198474,0.000000,0.000000,2.000000,0.000000,1.322237,0.198574
0.098248,-0.026970,-0.290831,0.782138,-0.076244,-0.015997,0.208520,-0.123710,0.080952,1.372200,-0.215575,0.000000,0.000000,2.000000,0.000000,1.252397,0.208520
0.099470,-0.013186,-0.262949,0.860151,-0.064215,-0.011970,0.212052,-0.104526,0.032286,1.372200,-0.221718,0.000000,0.000000,2.000000,0.000000,1.169859,0.212052
0.110546,-0.003076,-0.234234,0.958845,-0.049945,-0.014572,0.209465,-0.067723,0.014906,1.372200,-0.225226,0.000000,0.000000,2.000000,0.000000,1.067183,0.209465
0.097273,0.001877,-0.211032,1.057218,-0.047960,-0.023309,0.205559,-0.031105,0.004600,1.372200,-0.230363,0.000000,0.000000,2.000000,0.000000,0.966114,0.205559
0.096892,0.003972,-0.191127,1.151348,-0.053644,-0.011286,0.202155,-0.000196,0.012397,1.320575,-0.237750,0.000000,0.000000,2.000000,0.000000,0.869917,0.202155
0.104403,0.003903,-0.173364,1.248802,-0.049313,-0.001635,0.197778,0.026455,0.026067,1.135605,-0.243826,0.000000,0.000000,2.000000,0.000000,0.770953,0.197778
0.095073,0.001794,-0.152930,1.370038,-0.045192,-0.010237,0.196259,0.037437,-0.047716,0.719753,-0.254094,0.000000,0.000000,2.000000,0.000000,0.648261,0.196259
0.107091,-0.001794,-0.134318,1.492697,-0.043256,-0.008795,0.192883,0.058162,-0.027147,0.526058,-0.260032,0.000000,0.000000,2.000000,0.000000,0.524787,0.192883
