timestamp,x,y,z,roll,pitch,yaw,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd,target_x,target_y,target_z,target_yaw,pos_error,yaw_error
1777304912.714459,0.291307,-0.146449,0.861727,-0.036022,0.006957,0.049224,-1.303020,1.372200,1.372200,-0.271054,0.000000,0.000000,2.000000,0.000000,1.184049,0.049224
0.102995,0.292887,-0.146801,0.861441,-0.056672,0.022177,0.049535,-0.349904,0.202539,1.372200,-0.037703,0.000000,0.000000,2.000000,0.000000,1.184757,0.049535
0.098061,0.294076,-0.146611,0.860969,-0.041517,0.013656,0.050590,-0.347671,0.200224,1.372200,-0.041531,0.000000,0.000000,2.000000,0.000000,1.185482,0.050590
0.109847,0.296188,-0.146274,0.861984,-0.045383,0.007439,0.053868,-0.356990,0.200321,1.372200,-0.048451,0.000000,0.000000,2.000000,0.000000,1.184991,0.053868
0.090826,0.297710,-0.146422,0.863145,-0.043894,0.007862,0.053759,-0.355732,0.205429,1.372200,-0.047707,0.000000,0.000000,2.000000,0.000000,1.184276,0.053759
0.114676,0.299957,-0.146158,0.865608,-0.022640,0.004416,0.050228,-0.362155,0.199944,1.372200,-0.045133,0.000000,0.000000,2.000000,0.000000,1.182447,0.050228
0.088244,0.301574,-0.146035,0.867966,-0.035894,0.003596,0.051723,-0.362202,0.201340,1.372200,-0.052919,0.000000,0.000000,2.000000,0.000000,1.180583,0.051723
0.105391,0.303539,-0.145981,0.871463,-0.034686,0.004573,0.049969,-0.364976,0.201713,1.372200,-0.050966,0.000000,0.000000,2.000000,0.000000,1.177727,0.049969
0.101454,0.304927,-0.146261,0.874551,-0.043080,0.009380,0.047146,-0.361550,0.204320,1.372200,-0.050191,0.000000,0.000000,2.000000,0.000000,1.175163,0.047146
0.095243,0.306739,-0.146058,0.878288,-0.033334,0.002137,0.045771,-0.369773,0.198710,1.372200,-0.052581,0.000000,0.000000,2.000000,0.000000,1.172033,0.045771
0.105959,0.308028,-0.146074,0.882620,-0.043572,0.002515,0.048832,-0.363077,0.202011,1.372200,-0.061325,0.000000,0.000000,2.000000,0.000000,1.168228,0.048832
0.091018,0.308725,-0.145606,0.885443,-0.038754,0.003388,0.047077,-0.359656,0.194999,1.372200,-0.057506,0.000000,0.000000,2.000000,0.000000,1.165655,0.047077
0.104523,0.309461,-0.145244,0.889405,-0.035817,-0.002523,0.051102,-0.358923,0.197866,1.372200,-0.068391,0.000000,0.000000,2.000000,0.000000,1.162017,0.051102
0.100371,0.310118,-0.145293,0.893155,-0.041048,0.007936,0.050890,-0.358920,0.202076,1.372200,-0.066762,0.000000,0.000000,2.000000,0.000000,1.158615,0.050890
0.106994,0.308898,-0.145495,0.896522,-0.035641,0.001632,0.049615,-0.338521,0.202326,1.372200,-0.067446,0.000000,0.000000,2.000000,0.000000,1.155097,0.049615
0.096142,0.306485,-0.145726,0.907907,-0.046995,-0.021116,0.050348,-0.321040,0.202504,1.372200,-0.072124,0.000000,0.000000,2.000000,0.000000,1.143607,0.050348
0.101550,0.299181,-0.144999,0.941549,-0.061255,-0.041329,0.048703,-0.263772,0.188102,1.372200,-0.071033,0.000000,0.000000,2.000000,0.000000,1.109438,0.048703
0.105536,0.289072,-0.142881,0.985475,-0.055953,-0.045929,0.052121,-0.227424,0.170953,1.372200,-0.080687,0.000000,0.000000,2.000000,0.000000,1.064537,0.052121
0.098589,0.272631,-0.139376,1.049087,-0.056619,-0.035491,0.052325,-0.134562,0.145682,1.372200,-0.080360,0.000000,0.000000,2.000000,0.000000,0.998994,0.052325
0.104132,0.248311,-0.132267,1.142354,-0.055424,-0.017810,0.052205,-0.038852,0.097762,1.372200,-0.082542,0.000000,0.000000,2.000000,0.000000,0.902613,0.052205
0.104078,0.227151,-0.125374,1.220525,-0.062258,-0.007996,0.051140,-0.048758,0.092943,1.281607,-0.083449,0.000000,0.000000,2.000000,0.000000,0.821521,0.051140
0.097989,0.203429,-0.115965,1.313961,-0.055276,-0.001946,0.045054,0.016078,0.047454,0.990196,-0.076316,0.000000,0.000000,2.000000,0.000000,0.724900,0.045054
0.092487,0.180194,-0.105976,1.412890,-0.055262,0.010092,0.046524,0.050005,0.022129,0.728554,-0.086868,0.000000,0.000000,2.000000,0.000000,0.623216,0.046524
