timestamp,x,y,z,roll,pitch,yaw,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd,target_x,target_y,target_z,target_yaw,pos_error,yaw_error,vel_est_x,vel_est_y,vel_est_z
1777990129183.000000,-1.251468,-1.828198,0.944064,-0.042259,-0.012762,2.428243,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.365338,2.428243,0.396526,-0.271257,0.174673
1777990129281.000000,-1.262470,-1.783840,0.957669,-0.058997,-0.022886,2.409911,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.330319,2.409911,0.385945,-0.261774,0.138832
1777990129383.000000,-1.273663,-1.734754,0.976804,-0.046498,-0.011406,2.371266,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.289064,2.371266,0.413868,-0.268953,0.187594
1777990129482.000000,-1.284934,-1.686273,0.991591,-0.054837,-0.009794,2.347692,2.030837,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.252616,2.347692,0.429022,-0.262138,0.149362
1777990129582.000000,-1.295505,-1.636662,1.007786,-0.044696,-0.004476,2.304060,1.938077,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.215380,2.304060,0.439358,-0.253505,0.161954
1777990129682.000000,-1.305500,-1.586407,1.022420,-0.039244,-0.008409,2.279859,1.639023,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.180197,2.279859,0.446508,-0.251361,0.146340
1777990129781.000000,-1.315185,-1.535000,1.037936,-0.035232,-0.010283,2.252169,1.298629,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.145047,2.252169,0.464932,-0.251080,0.156724
1777990129888.000000,-1.324482,-1.480087,1.053749,-0.041638,-0.002911,2.223286,1.074589,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.109578,2.223286,0.460531,-0.242565,0.147782
1777990129982.000000,-1.332160,-1.428562,1.068775,-0.042789,0.001695,2.192848,0.583298,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.077579,2.192848,0.493060,-0.253021,0.159849
1777990130091.000000,-1.339489,-1.371682,1.085446,-0.039176,0.002950,2.160902,0.447398,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.043939,2.160902,0.470999,-0.234504,0.152947
1777990130194.000000,-1.345177,-1.316189,1.100801,-0.043107,0.007721,2.133344,-0.059929,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.013746,2.133344,0.485195,-0.240640,0.149075
1777990130291.000000,-1.349610,-1.260202,1.117022,-0.049094,0.003025,2.104699,-0.639647,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.984674,2.104699,0.520114,-0.254376,0.167235
1777990130396.000000,-1.351947,-1.211358,1.130649,-0.018829,0.020675,2.076505,-0.280805,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.961411,2.076505,0.417738,-0.205879,0.129774
1777990130493.000000,-1.351570,-1.149932,1.149069,0.027102,0.047466,2.040521,-1.856370,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.932826,2.040521,0.562913,-0.290105,0.189897
1777990130586.000000,-1.347085,-1.103401,1.164393,0.045153,0.062033,2.013075,-1.039978,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.910713,2.013075,0.431548,-0.257726,0.164782
1777990130690.000000,-1.337103,-1.061474,1.180764,0.053289,0.069215,1.982310,-1.037865,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.888012,1.982310,0.331102,-0.249224,0.157412
1777990130788.000000,-1.321436,-1.026621,1.197993,0.048998,0.065756,1.952022,-1.105245,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.864434,1.952022,0.270622,-0.280713,0.175800
1777990130890.000000,-1.300540,-0.998335,1.214529,0.052815,0.061257,1.919838,-0.915239,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.841006,1.919838,0.190530,-0.287349,0.162125
1777990130984.000000,-1.275869,-0.977925,1.231579,0.051622,0.056884,1.888109,-0.766684,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.816738,1.888109,0.124401,-0.317105,0.181382
1777990131084.000000,-1.246119,-0.962346,1.248159,0.054886,0.053739,1.855651,-0.618456,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.791996,1.855651,0.065905,-0.329290,0.165793
1777990131191.000000,-1.221389,-0.954089,1.260906,0.049816,0.052932,1.832829,-0.480489,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.772905,1.832829,0.014669,-0.243226,0.119129
1777990131300.000000,-1.188055,-0.948382,1.276524,0.043779,0.049162,1.803120,-0.364693,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.749297,1.803120,-0.019463,-0.309652,0.143292
1777990131395.000000,-1.135921,-0.947226,1.299829,0.041484,0.040763,1.762173,0.138303,-0.935548,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.715191,1.762173,-0.092438,-0.541078,0.245313
1777990131496.000000,-1.104387,-0.950106,1.313791,0.039648,0.044898,1.737298,-0.060368,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.695894,1.737298,-0.079865,-0.303166,0.138237
1777990131589.000000,-1.068543,-0.955117,1.329391,0.019993,0.038432,1.711759,0.233582,-1.410531,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.675596,1.711759,-0.107497,-0.374034,0.167739
1777990131724.000000,-1.027132,-0.961481,1.347388,0.001104,0.033009,1.681070,0.105850,-1.621414,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.654311,1.681070,-0.080612,-0.299693,0.133312
1777990131796.000000,-0.983001,-0.967345,1.365305,-0.015758,0.028395,1.647965,0.580571,1.110035,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.635762,1.647965,-0.128453,-0.604837,0.248846
1777990131908.000000,-0.936872,-0.970734,1.384167,-0.029892,0.028000,1.615348,-0.017719,-0.507705,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.619751,1.615348,-0.048571,-0.410104,0.168415
1777990132021.000000,-0.891517,-0.969445,1.404725,-0.042619,-0.017591,1.585518,-0.222515,0.354702,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.605851,1.585518,0.005498,-0.401497,0.181925
1777990132101.000000,-0.858450,-0.965641,1.420652,-0.041312,-0.032006,1.564605,-0.494694,0.846650,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.597378,1.564605,0.050111,-0.413031,0.199095
1777990132206.000000,-0.824688,-0.958865,1.437632,-0.013260,-0.024508,1.535367,-0.666606,0.638086,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.590495,1.535367,0.075880,-0.319062,0.161710
1777990132309.000000,-0.796311,-0.950826,1.455303,0.014792,-0.050913,1.509414,-0.891198,0.894920,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.583611,1.509414,0.094805,-0.270199,0.171568
1777990132418.000000,-0.774663,-0.944005,1.472817,0.032756,-0.080162,1.480838,-0.931902,0.827597,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.576050,1.480838,0.080163,-0.192181,0.160677
1777990132519.000000,-0.762393,-0.940633,1.490302,0.045645,-0.087124,1.447848,-0.910203,0.712137,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.565485,1.447848,0.048029,-0.116467,0.173121
1777990132625.000000,-0.761102,-0.941931,1.504874,0.050269,-0.085970,1.418351,-0.704282,0.351328,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.552806,1.418351,-0.010247,-0.013897,0.137467
1777990132728.000000,-0.768279,-0.946861,1.519016,0.038141,-0.083546,1.388332,-0.553465,0.124715,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.536529,1.388332,-0.059717,0.059838,0.137305
1777990132819.000000,-0.784105,-0.955353,1.532454,0.036272,-0.081672,1.357196,-0.189995,-0.382359,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.516917,1.357196,-0.128061,0.150172,0.147665
1777990132923.000000,-0.806931,-0.966604,1.544886,0.038069,-0.059264,1.329303,-0.082234,-0.519429,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,0.495500,1.329303,-0.157531,0.187237,0.119541
1777990133034.000000,-0.839751,-0.983498,1.559122,0.034391,-0.003095,1.292568,0.450682,-0.994951,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.449856,2.792568,-0.227553,0.242503,0.128252
1777990133090.000000,-0.861591,-0.996023,1.568691,0.027927,0.042001,1.268533,1.273615,-1.541985,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.437991,2.768533,-0.329627,0.305750,0.170870
1777990133191.000000,-0.885968,-1.012735,1.581578,0.020184,0.070989,1.237733,0.485592,-0.600610,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.423056,2.737733,-0.235277,0.173993,0.127595
1777990133290.000000,-0.904316,-1.029528,1.594944,0.013709,0.077186,1.209964,0.828584,-0.582988,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.408620,2.709964,-0.224141,0.113510,0.135012
1777990133390.000000,-0.914660,-1.044527,1.609477,-0.016938,0.090391,1.183107,0.735003,-0.247222,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.393850,2.683107,-0.177959,0.039062,0.145335
1777990133493.000000,-0.917188,-1.056111,1.624534,-0.047282,0.095848,1.153805,0.545667,0.047315,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.379099,2.653805,-0.112775,-0.023109,0.146177
1777990133596.000000,-0.911639,-1.062766,1.641030,-0.054430,0.088516,1.124826,0.237142,0.380094,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.363285,2.624826,-0.035050,-0.076474,0.160157
1777990133694.000000,-0.900314,-1.062692,1.658301,-0.060593,0.063662,1.096309,-0.216882,0.588676,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.346857,2.596309,0.053464,-0.102449,0.176235
1777990133793.000000,-0.886040,-1.055731,1.676357,-0.069037,0.015829,1.067109,-0.656653,0.619330,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.329709,2.567109,0.131171,-0.092339,0.182381
1777990133893.000000,-0.873239,-1.043943,1.694951,-0.039438,-0.040535,1.038342,-0.911265,0.485914,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.311926,2.538342,0.166546,-0.050447,0.185949
1777990133992.000000,-0.865756,-1.029152,1.712232,-0.008693,-0.066892,1.015023,-1.040925,0.207561,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.295074,2.515023,0.166802,0.014615,0.174553
1777990134094.000000,-0.866008,-1.012092,1.730791,0.015313,-0.078520,0.985206,-1.062365,-0.197355,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.276320,2.485206,0.138017,0.094499,0.181947
1777990134194.000000,-0.874407,-0.996927,1.747913,0.025096,-0.057473,0.956403,-0.867052,-0.534485,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.258374,2.456403,0.075502,0.156048,0.171222
1777990134294.000000,-0.889199,-0.985234,1.763873,0.048857,-0.028715,0.924656,-0.625014,-0.774464,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.241171,2.424656,0.004305,0.188508,0.159602
1777990134394.000000,-0.907531,-0.978344,1.778964,0.075011,0.007804,0.892087,-0.363410,-0.867546,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.224724,2.392087,-0.061458,0.185947,0.150908
1777990134494.000000,-0.926808,-0.977902,1.793801,0.086084,0.026930,0.863166,-0.049325,-0.791595,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.208620,2.363166,-0.121950,0.149360,0.148366
1777990134597.000000,-0.945074,-0.983764,1.808409,0.079030,0.037068,0.833501,0.195342,-0.620233,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.192966,2.333501,-0.161356,0.093023,0.141832
1777990134693.000000,-0.960778,-0.995510,1.822799,0.068587,0.049253,0.804695,0.541468,-0.390418,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.177863,2.304695,-0.201595,0.033048,0.149894
1777990134794.000000,-0.972504,-1.011226,1.836888,0.041229,0.072094,0.778950,0.574579,-0.100144,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.163492,2.278950,-0.191930,-0.029175,0.139490
1777990134894.000000,-0.978325,-1.028862,1.851801,0.009987,0.097828,0.756496,0.581902,0.242245,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.148766,2.256496,-0.163383,-0.088299,0.149132
1777990134994.000000,-0.977177,-1.045632,1.867403,-0.014854,0.093302,0.731651,0.377203,0.550456,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.133746,2.231651,-0.103503,-0.132455,0.156021
1777990135094.000000,-0.969923,-1.058244,1.884214,-0.060415,0.071179,0.710079,0.056121,0.691513,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.117710,2.210079,-0.027203,-0.142925,0.168109
1777990135194.000000,-0.958307,-1.064286,1.901713,-0.091157,0.037619,0.680677,-0.337703,0.684378,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.100957,2.180677,0.052246,-0.120053,0.174990
1777990135295.000000,-0.945503,-1.062195,1.919372,-0.087914,0.004169,0.648243,-0.682053,0.461246,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.083787,2.148243,0.113554,-0.060044,0.174846
1777990135394.000000,-0.935590,-1.051836,1.936051,-0.057124,-0.049775,0.618877,-0.897020,0.052322,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.067157,2.118877,0.142260,0.027139,0.168467
1777990135498.000000,-0.931375,-1.033615,1.952217,-0.030582,-0.077362,0.585849,-0.935569,-0.451582,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.050566,2.085849,0.130648,0.123579,0.155445
1777990135594.000000,-0.934506,-1.013495,1.965715,0.014966,-0.068837,0.555227,-0.771031,-0.878393,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.036444,2.055227,0.082762,0.195291,0.140610
1777990135698.000000,-0.944085,-0.992356,1.979698,0.069485,-0.019965,0.523180,-0.562950,-1.111875,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.021862,2.023180,0.021774,0.222091,0.134444
1777990135795.000000,-0.952327,-0.981435,1.987876,0.096333,-0.006579,0.502370,-0.432141,-0.673607,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,1.013416,2.002370,-0.020267,0.139597,0.084315
1777990135897.000000,-0.971595,-0.968815,2.004605,0.120163,-0.008466,0.465994,0.141987,-1.437579,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.996288,1.965994,-0.113166,0.195403,0.164010
1777990135995.000000,-0.982679,-0.967465,2.014250,0.103282,-0.010256,0.444425,-0.085250,-0.543975,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.986439,1.944425,-0.096193,0.061062,0.098416
1777990136097.000000,-0.998440,-0.971719,2.027841,0.086398,0.009809,0.415192,0.498246,-0.666225,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.972571,1.915192,-0.158219,0.024167,0.133249
1777990136200.000000,-1.012168,-0.981934,2.040924,0.084205,0.034063,0.383850,0.552868,-0.306823,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.959323,1.883850,-0.160714,-0.042041,0.127016
1777990136315.000000,-1.024006,-0.999902,2.057285,0.078163,0.052415,0.342500,0.674181,0.099817,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.943021,1.842500,-0.149435,-0.112603,0.142269
1777990136417.000000,-1.028114,-1.016410,2.071096,0.055026,0.078278,0.312427,0.423411,0.300652,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.929475,1.812427,-0.088070,-0.141623,0.135399
1777990136504.000000,-1.025761,-1.038277,2.088698,0.023489,0.097553,0.277954,0.311507,1.191039,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.912469,1.777954,-0.042960,-0.249128,0.202332
1777990136611.000000,-1.014838,-1.056532,2.106221,-0.028374,0.094435,0.248201,-0.237497,0.802407,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.895688,1.748201,0.057044,-0.190454,0.163758
1777990136712.000000,-0.995931,-1.067553,2.122518,-0.069241,0.073688,0.216473,-0.841786,0.840733,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.880088,1.716473,0.159390,-0.146782,0.161361
1777990136810.000000,-0.976573,-1.068990,2.135626,-0.076861,0.029040,0.190963,-1.027361,0.421112,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.867439,1.690963,0.191152,-0.051887,0.133758
1777990136915.000000,-0.956081,-1.061720,2.148778,-0.052754,-0.031213,0.161883,-1.289071,0.081748,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.854586,1.661883,0.203773,0.036875,0.125252
1777990137016.000000,-0.939465,-1.044705,2.161968,-0.051250,-0.071803,0.130870,-1.379449,-0.541297,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.841404,1.630870,0.185094,0.145564,0.130593
1777990137127.000000,-0.930277,-1.021544,2.173428,-0.021264,-0.064015,0.101584,-1.084516,-0.845679,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.829787,1.601584,0.103512,0.199185,0.103244
1777990137219.000000,-0.928722,-0.993795,2.183664,0.032159,-0.059554,0.076719,-0.909075,-1.676300,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.819466,1.576719,0.039964,0.299435,0.111258
1777990137323.000000,-0.935372,-0.966359,2.192914,0.089619,-0.047588,0.053637,-0.487090,-1.542026,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.810368,1.553637,-0.049704,0.266853,0.088947
1777990137438.000000,-0.949638,-0.942849,2.203157,0.112009,-0.044807,0.025794,-0.149726,-1.550920,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.800476,1.525794,-0.118746,0.207570,0.089068
1777990137499.000000,-0.967087,-0.929016,2.212308,0.114222,-0.043860,0.002541,1.177944,-1.995565,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.791569,1.502541,-0.285470,0.227498,0.150013
1777990137602.000000,-0.991317,-0.920778,2.223955,0.106712,-0.035228,-0.026276,0.525030,-1.098930,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.780127,1.473724,-0.237255,0.073770,0.113080
1777990137744.000000,-1.019217,-0.919860,2.237881,0.100216,0.012260,-0.058642,0.720420,-1.047999,2.219100,-0.860000,-1.000000,-1.000000,3.000000,-1.500000,0.766562,1.441358,-0.196526,-0.005062,0.098068
