time_s,cmd_vx,cmd_vy,cmd_vz,vel_vx,vel_vy,vel_vz,roll,pitch,yaw,p,q,r,rpm1,rpm2,rpm3,rpm4
3.181000000000000050e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.265641861704749965e-18,1.333387613296508789e+00,-2.522454364225268364e-03,-8.291804531926723343e-02,-1.349518006662438836e-19,-1.367288388607189906e-19,5.300275228919780479e-02,-5.295072132472703327e-20,-4.293869990041601681e-19,1.864913930924135684e+03,1.871832521848721399e+03,1.871832521848721399e+03,1.864913930924135684e+03
3.181999999999999940e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.267002470414823126e-18,1.333693981170654297e+00,-2.516651526093482971e-03,-8.286504256699045445e-02,-1.350401213851035098e-19,-1.371523674008331805e-19,5.303102354806733115e-02,-5.297197170941033226e-20,-3.963572298499940087e-19,1.864920966385597012e+03,1.871818077751903729e+03,1.871818077751903729e+03,1.864920966385597012e+03
3.183000000000000274e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.268407436685244443e-18,1.333999633789062500e+00,-2.510847058147192001e-03,-8.281201154345479987e-02,-1.351257078180197846e-19,-1.375429823593657023e-19,5.305918990489751769e-02,-5.299159791200211493e-20,-4.293869990041601681e-19,1.864930053719281204e+03,1.871801586594771607e+03,1.871801586594771607e+03,1.864930053719281204e+03
3.184000000000000163e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.269769079371083296e-18,1.334304690361022949e+00,-2.505040494725108147e-03,-8.275895235356237056e-02,-1.352140243526955916e-19,-1.379665168844450428e-19,5.308726830413513370e-02,-5.301287092420931756e-20,-4.624167681583263274e-19,1.864937068835995660e+03,1.871787156955533419e+03,1.871787156955533419e+03,1.864937068835995660e+03
3.185000000000000053e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.271175079617270305e-18,1.334609150886535645e+00,-2.499232068657875061e-03,-8.270586508527069669e-02,-1.353050691252606364e-19,-1.384229711331858947e-19,5.311525871367279994e-02,-5.303579244539794144e-20,-4.954465373124924868e-19,1.864944086446188976e+03,1.871772721896994653e+03,1.871772721896994653e+03,1.864944086446188976e+03
3.185999999999999943e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.272625334026228901e-18,1.334912896156311035e+00,-2.493422012776136398e-03,-8.265274982656950487e-02,-1.353988402708021908e-19,-1.389123452627676859e-19,5.314314434338675286e-02,-5.306036416678109909e-20,-4.954465373124924868e-19,1.864953154528554478e+03,1.871756241033167043e+03,1.871756241033167043e+03,1.864953154528554478e+03
3.187000000000000277e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.274120152790688791e-18,1.335216045379638672e+00,-2.487610094249248505e-03,-8.259960668223861879e-02,-1.354926099040470990e-19,-1.394017223456866596e-19,5.317094212989386531e-02,-5.308494878837298419e-20,-4.954465373124924868e-19,1.864960151626145716e+03,1.871741821032582038e+03,1.871741821032582038e+03,1.864960151626145716e+03
3.188000000000000167e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.275615385145454957e-18,1.335518598556518555e+00,-2.481796313077211380e-03,-8.254643574012125729e-02,-1.355863780241772742e-19,-1.398911023847100882e-19,5.319865204828295308e-02,-5.310954626953633047e-20,-4.624167681583263274e-19,1.864967150301037009e+03,1.871727396452185303e+03,1.871727396452185303e+03,1.864967150301037009e+03
3.189000000000000057e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.277111237885680539e-18,1.335820436477661133e+00,-2.475980902090668678e-03,-8.249323708808553590e-02,-1.356774221115294986e-19,-1.403475680081515994e-19,5.322625731335904609e-02,-5.313251588294994714e-20,-4.624167681583263274e-19,1.864976198786180930e+03,1.871710926582992442e+03,1.871710926582992442e+03,1.864976198786180930e+03
3.189999999999999947e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.278563560246170517e-18,1.336121678352355957e+00,-2.470163628458976746e-03,-8.244001083078474068e-02,-1.357684648006489518e-19,-1.408040365835459106e-19,5.325377485935545857e-02,-5.315549741550517249e-20,-4.954465373124924868e-19,1.864983176570677870e+03,1.871696517304096233e+03,1.871696517304096233e+03,1.864983176570677870e+03
