t,u,y,cross1,cross2
2.3291666666666666,-0.6,-0.601622462272644,0.0,0.0
2.3333333333333335,-0.6,-0.6016159057617188,0.0,0.0
2.3375,-0.6,-0.601609468460083,0.0,0.0
2.341666666666667,-0.6,-0.6016029119491577,0.0,0.0
2.345833333333333,-0.6,-0.601596474647522,0.0,0.0
2.35,-0.6,-0.6015900373458862,0.0,0.0
2.3541666666666665,-0.6,-0.6015835404396057,0.0,0.0
2.3583333333333334,-0.6,-0.60157710313797,0.0,0.0
2.3625,-0.6,-0.6015706658363342,0.0,0.0
2.3666666666666667,-0.6,-0.6015642881393433,0.0,0.0
2.370833333333333,-0.6,-0.601557731628418,0.0,0.0
2.375,-0.6,-0.6015514135360718,0.0,0.0
2.3791666666666664,-0.6,-0.601544976234436,0.0,0.0
2.3833333333333333,-0.6,-0.6015387177467346,0.0,0.0
2.3875,-0.6,-0.6015323996543884,0.0,0.0
2.3916666666666666,-0.6,-0.601526141166687,0.0,0.0
2.3958333333333335,-0.6,-0.6015199422836304,0.0,0.0
2.4,-0.6,-0.6015137434005737,0.0,0.0
2.404166666666667,-0.6,-0.6015076637268066,0.0,0.0
2.408333333333333,-0.6,-0.60150146484375,0.0,0.0
2.4125,-0.6,-0.6014953851699829,0.0,0.0
2.4166666666666665,-0.6,-0.6014893054962158,0.0,0.0
2.4208333333333334,-0.6,-0.6014834046363831,0.0,0.0
2.425,-0.6,-0.6014774441719055,0.0,0.0
2.4291666666666667,-0.6,-0.6014716029167175,0.0,0.0
2.433333333333333,-0.6,-0.6014657020568848,0.0,0.0
2.4375,-0.6,-0.6014598608016968,0.0,0.0
2.4416666666666664,-0.6,-0.6014540791511536,0.0,0.0
2.4458333333333333,-0.6,-0.6014482378959656,0.0,0.0
2.45,-0.6,-0.6014425754547119,0.0,0.0
2.4541666666666666,-0.6,-0.6014368534088135,0.0,0.0
2.4583333333333335,-0.6,-0.6014312505722046,0.0,0.0
2.4625,-0.6,-0.6014255285263062,0.0,0.0
2.466666666666667,-0.6,-0.6014198064804077,0.0,0.0
2.470833333333333,-0.6,-0.6014142036437988,0.0,0.0
2.475,-0.6,-0.6014086008071899,0.0,0.0
2.4791666666666665,-0.6,-0.601402997970581,0.0,0.0
2.4833333333333334,-0.6,-0.6013974547386169,0.0,0.0
2.4875,-0.6,-0.6013917922973633,0.0,0.0
2.4916666666666667,-0.6,-0.6013862490653992,0.0,0.0
2.495833333333333,-0.6,-0.6013807058334351,0.0,0.0
2.5,-0.6,-0.601375162601471,0.0,0.0
2.5041666666666664,-0.6,-0.6013696193695068,0.0,0.0
2.5083333333333333,-0.6,-0.6013640761375427,0.0,0.0
2.5125,-0.6,-0.6013585925102234,0.0,0.0
2.5166666666666666,-0.6,-0.6013531684875488,0.0,0.0
2.5208333333333335,-0.6,-0.6013475656509399,0.0,0.0
2.525,-0.6,-0.6013421416282654,0.0,0.0
2.529166666666667,-0.6,-0.6013367176055908,0.0,0.0
2.533333333333333,-0.6,-0.601331353187561,0.0,0.0
2.5375,-0.6,-0.6013259887695312,0.0,0.0
2.5416666666666665,-0.6,-0.6013205647468567,0.0,0.0
2.5458333333333334,-0.6,-0.6013152003288269,0.0,0.0
2.55,-0.6,-0.6013098955154419,0.0,0.0
2.5541666666666667,-0.6,-0.6013045907020569,0.0,0.0
2.558333333333333,-0.6,-0.6012994050979614,0.0,0.0
2.5625,-0.6,-0.6012941002845764,0.0,0.0
2.5666666666666664,-0.6,-0.601288914680481,0.0,0.0
2.5708333333333333,-0.6,-0.6012837886810303,0.0,0.0
2.575,-0.6,-0.60127854347229,0.0,0.0
2.5791666666666666,-0.6,-0.6012734174728394,0.0,0.0
2.5833333333333335,-0.6,-0.6012682914733887,0.0,0.0
2.5875,-0.6,-0.6012632250785828,0.0,0.0
2.591666666666667,-0.6,-0.6012581586837769,0.0,0.0
2.595833333333333,-0.6,-0.6012532114982605,0.0,0.0
2.6,-0.6,-0.6012481451034546,0.0,0.0
2.6041666666666665,-0.6,-0.6012431979179382,0.0,0.0
2.6083333333333334,-0.6,-0.6012382507324219,0.0,0.0
2.6125,-0.6,-0.6012331247329712,0.0,0.0
2.6166666666666667,-0.6,-0.6012282967567444,0.0,0.0
2.620833333333333,-0.6,-0.601223349571228,0.0,0.0
2.625,-0.6,-0.6012184619903564,0.0,0.0
2.6291666666666664,-0.6,-0.6012136340141296,0.0,0.0
2.6333333333333333,-0.6,-0.6012088060379028,0.0,0.0
2.6375,-0.6,-0.601203978061676,0.0,0.0
2.6416666666666666,-0.6,-0.6011990904808044,0.0,0.0
2.6458333333333335,-0.6,-0.6011942625045776,0.0,0.0
2.65,-0.6,-0.6011894941329956,0.0,0.0
2.654166666666667,-0.6,-0.6011847257614136,0.0,0.0
2.658333333333333,-0.6,-0.6011800169944763,0.0,0.0
2.6625,-0.6,-0.6011752486228943,0.0,0.0
2.6666666666666665,-0.6,-0.601170539855957,0.0,0.0
2.6708333333333334,-0.6,-0.601165771484375,0.0,0.0
2.675,-0.6,-0.6011611223220825,0.0,0.0
2.6791666666666667,-0.6,-0.60115647315979,0.0,0.0
2.683333333333333,-0.6,-0.6011518239974976,0.0,0.0
2.6875,-0.6,-0.6011472344398499,0.0,0.0
2.6916666666666664,-0.6,-0.6011425256729126,0.0,0.0
2.6958333333333333,-0.6,-0.6011379361152649,0.0,0.0
2.7,-0.6,-0.6011333465576172,0.0,0.0
2.7041666666666666,-0.6,-0.6011288166046143,0.0,0.0
2.7083333333333335,-0.6,-0.6011242866516113,0.0,0.0
2.7125,-0.6,-0.6011197566986084,0.0,0.0
2.716666666666667,-0.6,-0.6011152267456055,0.0,0.0
2.720833333333333,-0.6,-0.6011108160018921,0.0,0.0
2.725,-0.6,-0.6011062860488892,0.0,0.0
2.7291666666666665,-0.6,-0.6011018753051758,0.0,0.0
2.7333333333333334,-0.6,-0.6010974049568176,0.0,0.0
2.7375,-0.6,-0.6010929942131042,0.0,0.0
2.7416666666666667,-0.6,-0.6010885238647461,0.0,0.0
2.745833333333333,-0.6,-0.601084291934967,0.0,0.0
2.75,-0.6,-0.6010798811912537,0.0,0.0
2.7541666666666664,-0.6,-0.6010755300521851,0.0,0.0
2.7583333333333333,-0.6,-0.6010711789131165,0.0,0.0
2.7625,-0.6,-0.6010668873786926,0.0,0.0
2.7666666666666666,-0.6,-0.6010626554489136,0.0,0.0
2.7708333333333335,-0.6,-0.6010583639144897,0.0,0.0
2.775,-0.6,-0.6010541319847107,0.0,0.0
2.779166666666667,-0.6,-0.6010499000549316,0.0,0.0
2.783333333333333,-0.6,-0.6010457277297974,0.0,0.0
2.7875,-0.6,-0.6010414958000183,0.0,0.0
2.7916666666666665,-0.6,-0.601037323474884,0.0,0.0
2.7958333333333334,-0.6,-0.6010332107543945,0.0,0.0
2.8,-0.6,-0.6010290384292603,0.0,0.0
2.8041666666666667,-0.6,-0.6010249257087708,0.0,0.0
2.808333333333333,-0.6,-0.6010208129882812,0.0,0.0
2.8125,-0.6,-0.6010167002677917,0.0,0.0
2.8166666666666664,-0.6,-0.601012647151947,0.0,0.0
2.8208333333333333,-0.6,-0.6010085344314575,0.0,0.0
2.825,-0.6,-0.6010045409202576,0.0,0.0
2.8291666666666666,-0.6,-0.6010005474090576,0.0,0.0
2.8333333333333335,-0.6,-0.6009964942932129,0.0,0.0
2.8375,-0.6,-0.6009924411773682,0.0,0.0
2.841666666666667,-0.6,-0.600988507270813,0.0,0.0
2.845833333333333,-0.6,-0.6009845733642578,0.0,0.0
2.85,-0.6,-0.6009805798530579,0.0,0.0
2.8541666666666665,-0.6,-0.6009767055511475,0.0,0.0
2.8583333333333334,-0.6,-0.6009726524353027,0.0,0.0
2.8625,-0.6,-0.6009688377380371,0.0,0.0
2.8666666666666667,-0.6,-0.6009649038314819,0.0,0.0
2.870833333333333,-0.6,-0.6009609699249268,0.0,0.0
2.875,-0.6,-0.6009571552276611,0.0,0.0
2.8791666666666664,-0.6,-0.6009533405303955,0.0,0.0
2.8833333333333333,-0.6,-0.6009495258331299,0.0,0.0
2.8875,-0.6,-0.6009457111358643,0.0,0.0
2.8916666666666666,-0.6,-0.6009417772293091,0.0,0.0
2.8958333333333335,-0.6,-0.600938081741333,0.0,0.0
2.9,-0.6,-0.6009343862533569,0.0,0.0
2.904166666666667,-0.6,-0.6009305715560913,0.0,0.0
2.908333333333333,-0.6,-0.6009268760681152,0.0,0.0
2.9125,-0.6,-0.6009230613708496,0.0,0.0
2.9166666666666665,-0.6,-0.6009193658828735,0.0,0.0
2.9208333333333334,-0.6,-0.6009156703948975,0.0,0.0
2.925,-0.6,-0.6009119749069214,0.0,0.0
2.9291666666666667,-0.6,-0.6009083390235901,0.0,0.0
2.933333333333333,-0.6,-0.600904643535614,0.0,0.0
2.9375,-0.6,-0.6009011268615723,0.0,0.0
2.9416666666666664,-0.6,-0.6008974313735962,0.0,0.0
2.9458333333333333,-0.6,-0.6008937954902649,0.0,0.0
2.95,-0.6,-0.6008902788162231,0.0,0.0
2.9541666666666666,-0.6,-0.6008866429328918,0.0,0.0
2.9583333333333335,-0.6,-0.6008831262588501,0.0,0.0
2.9625,-0.6,-0.6008795499801636,0.0,0.0
2.966666666666667,-0.6,-0.600875973701477,0.0,0.0
2.970833333333333,-0.6,-0.6008725166320801,0.0,0.0
2.975,-0.6,-0.6008690595626831,0.0,0.0
2.9791666666666665,-0.6,-0.6008656024932861,0.0,0.0
2.9833333333333334,-0.6,-0.6008620858192444,0.0,0.0
2.9875,-0.6,-0.6008586287498474,0.0,0.0
2.9916666666666667,-0.6,-0.6008551120758057,0.0,0.0
2.995833333333333,-0.6,-0.6008517742156982,0.0,0.0
3.0,-0.6,-0.600848376750946,0.0,0.0
3.0041666666666664,-0.6,-0.6008449196815491,0.0,0.0
3.0083333333333333,-0.6,-0.6008415818214417,0.0,0.0
3.0125,-0.6,-0.6008381843566895,0.0,0.0
3.0166666666666666,-0.6,-0.6008349061012268,0.0,0.0
3.0208333333333335,-0.6,-0.6008315086364746,0.0,0.0
3.025,-0.6,-0.6008281111717224,0.0,0.0
3.029166666666667,-0.6,-0.6008247137069702,0.0,0.0
3.033333333333333,-0.6,-0.6008214950561523,0.0,0.0
3.0375,-0.6,-0.6008181571960449,0.0,0.0
3.0416666666666665,-0.6,-0.600814938545227,0.0,0.0
3.0458333333333334,-0.6,-0.6008116006851196,0.0,0.0
3.05,-0.6,-0.6008083820343018,0.0,0.0
3.0541666666666667,-0.6,-0.6008051037788391,0.0,0.0
3.058333333333333,-0.6,-0.6008018255233765,0.0,0.0
3.0625,-0.6,-0.6007986068725586,0.0,0.0
3.0666666666666664,-0.6,-0.6007953882217407,0.0,0.0
3.0708333333333333,-0.6,-0.6007922291755676,0.0,0.0
3.075,-0.6,-0.6007890105247498,0.0,0.0
3.0791666666666666,-0.6,-0.6007858514785767,0.0,0.0
3.0833333333333335,-0.6,-0.6007826924324036,0.0,0.0
3.0875,-0.6,-0.60077965259552,0.0,0.0
3.091666666666667,-0.6,-0.6007764339447021,0.0,0.0
3.095833333333333,-0.6,-0.600773274898529,0.0,0.0
3.1,-0.6,-0.6007702350616455,0.0,0.0
3.1041666666666665,-0.6,-0.6007670164108276,0.0,0.0
3.1083333333333334,-0.6,-0.6007640361785889,0.0,0.0
3.1125,-0.6,-0.6007609367370605,0.0,0.0
3.1166666666666667,-0.6,-0.6007578372955322,0.0,0.0
3.120833333333333,-0.6,-0.6007548570632935,0.0,0.0
3.125,-0.6,-0.6007518768310547,0.0,0.0
3.1291666666666664,-0.6,-0.6007488965988159,0.0,0.0
3.1333333333333333,-0.6,-0.6007458567619324,0.0,0.0
3.1375,-0.6,-0.6007428765296936,0.0,0.0
3.1416666666666666,-0.6,-0.6007398366928101,0.0,0.0
3.1458333333333335,-0.6,-0.6007368564605713,0.0,0.0
3.15,-0.6,-0.6007339954376221,0.0,0.0
3.154166666666667,-0.6,-0.6007310152053833,0.0,0.0
3.158333333333333,-0.6,-0.6007281541824341,0.0,0.0
3.1625,-0.6,-0.6007251739501953,0.0,0.0
3.1666666666666665,-0.6,-0.6007221937179565,0.0,0.0
3.1708333333333334,-0.6,-0.6007193326950073,0.0,0.0
3.175,-0.6,-0.6007164120674133,0.0,0.0
3.1791666666666667,-0.6,-0.6007134914398193,0.0,0.0
