time,command,measured,model,cross1,cross2,yaw
0.082,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.083,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.084,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.085,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.08600000000000001,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.08700000000000001,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.088,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.089,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.09,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.091,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.092,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.093,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.094,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.095,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.096,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.097,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.098,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.099,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.1,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.101,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.10200000000000001,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.10300000000000001,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.10400000000000001,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.105,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.106,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.107,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.108,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.109,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.11,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.111,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.112,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.113,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.114,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.115,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.116,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.117,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.11800000000000001,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.11900000000000001,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.12,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.121,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.122,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.123,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.124,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.125,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.126,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.127,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.128,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.129,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.13,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.131,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.132,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.133,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.134,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.135,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.136,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.137,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.138,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.139,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.14,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.14100000000000001,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.14200000000000002,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.14300000000000002,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.14400000000000002,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.145,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.146,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.147,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.148,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.149,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.15,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.151,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
0.152,0.0,0.0,0.5893974483199418,0.0,0.0,0.0
