time,command,measured,model,cross1,cross2,yaw
3.581,0.3,0.2888776957988739,0.012942874077725718,6.996144066718758e-17,0.002219981513917446,5.415908927596651e-18
3.5820000000000003,0.3,0.28887930512428284,0.012942874077725718,7.021877986447528e-17,0.002219798509031534,5.383350607042527e-18
3.583,0.3,0.2888808846473694,0.012942874077725718,7.05263322336674e-17,0.0022196152713149786,5.350797538676084e-18
3.584,0.3,0.2888824939727783,0.012942874077725718,7.087943247610913e-17,0.0022194322664290667,5.334095254990275e-18
3.585,0.3,0.28888410329818726,0.012942874077725718,7.127332264891709e-17,0.002219249028712511,5.317395624523831e-18
3.586,0.3,0.2888856828212738,0.012942874077725718,7.168955993315377e-17,0.002219066023826599,5.348235297947266e-18
3.587,0.3,0.28888729214668274,0.012942874077725718,7.211882034895449e-17,0.002218883018940687,5.410760834114091e-18
3.588,0.3,0.2888889014720917,0.012942874077725718,7.254718079224875e-17,0.0022187000140547752,5.504967030376581e-18
3.589,0.3,0.288890540599823,0.012942874077725718,7.296993625971235e-17,0.0022185170091688633,5.599157552087144e-18
3.59,0.3,0.28889214992523193,0.012942874077725718,7.339167264066129e-17,0.0022183340042829514,5.677486888531413e-18
3.591,0.3,0.28889375925064087,0.012942874077725718,7.380325786113297e-17,0.0022181509993970394,5.771648729579548e-18
3.592,0.3,0.2888953983783722,0.012942874077725718,7.42092778104434e-17,0.0022179679945111275,5.865794894272815e-18
3.593,0.3,0.28889700770378113,0.012942874077725718,7.460513998183168e-17,0.002217785222455859,5.975770949398053e-18
3.594,0.3,0.28889864683151245,0.012942874077725718,7.49954699692832e-17,0.0022176022175699472,6.085728686358859e-18
3.595,0.3,0.2889002859592438,0.012942874077725718,7.537568188348197e-17,0.002217419445514679,6.21151367215379e-18
3.596,0.3,0.2889019250869751,0.012942874077725718,7.575036823118889e-17,0.0022172366734594107,6.337277726148387e-18
3.597,0.3,0.2889035642147064,0.012942874077725718,7.611495635797777e-17,0.0022170539014041424,6.478866387576749e-18
3.598,0.3,0.28890520334243774,0.012942874077725718,7.647404538805439e-17,0.002216871129348874,6.620431475973145e-18
3.599,0.3,0.28890684247016907,0.012942874077725718,7.682764193886365e-17,0.002216688357293606,6.761972991817909e-18
3.6,0.3,0.2889085114002228,0.012942874077725718,7.718032528227666e-17,0.0022165055852383375,6.88764539648141e-18
3.601,0.3,0.2889101505279541,0.012942874077725718,7.752296996177573e-17,0.002216323046013713,7.02914243658813e-18
