axis,command_amplitude,identified_gain_K,identified_tau_s,step_plot,bode_plot,csv_data
vx,0.3,0.0,inf,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\vx_step_response.png,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\vx_bode_identified_model.png,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\vx_step_data.csv
vy,0.3,0.0,inf,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\vy_step_response.png,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\vy_bode_identified_model.png,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\vy_step_data.csv
vz,0.2,0.0,inf,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\vz_step_response.png,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\vz_bode_identified_model.png,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\vz_step_data.csv
yaw_rate,0.6,0.0,inf,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\yaw_rate_step_response.png,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\yaw_rate_bode_identified_model.png,E:\Study_file\Manchester\AERO60492\Coursework\CW3_git\Team_20_UAV_cw\assignment_3_2026\assignment_3_2026\inner_loop_analysis_output\yaw_rate_step_data.csv
